source_id,source_name,provider,source_class,variables,spatial_grain,temporal_grain,latency,access_mode,authority_tier,operational_role,status,url,limitations
google_maps_place,Google Maps Place,Google,reference_map,"place identity|latitude|longitude",point,varies,community/provider update,public place link,secondary,provisional attraction anchors,active,https://www.google.com/maps/,"ใช้เป็น area anchor ของสถานที่เท่านั้น ไม่ใช่พิกัดอาคารหน่วยหรือเซนเซอร์; ต้องเก็บ Place ID/short link เพื่อย้อนตรวจ"
legacy_area_research,ผลค้นคว้าพื้นที่เดิม,โครงการแม่ปิง,provisional_reference,"names|area anchors",mixed,snapshot,static,manual,tertiary,provisional anchors,review_required,https://chatgpt.com/share/6a8a9ac3-56bc-83ec-9433-433443115cf3,"ห้ามใช้เป็น ground truth จนกว่าจะย้อนกลับถึงแหล่งปฐมภูมิ"
open_meteo_best_match,Open-Meteo Best Match,Open-Meteo,forecast_aggregator,"precipitation|precipitation probability|temperature|apparent temperature|humidity|dew point",model grid,1 hour,model dependent,public API,secondary,pipeline baseline,active,https://open-meteo.com/en/docs,"ใช้ทดสอบ ingestion และเป็น baseline เท่านั้น; issued_at คือเวลาที่ระบบเราดึง ไม่ใช่ initialization time ของโมเดลต้นทาง"
dnp_legal_boundary_catalog,แนวเขตพื้นที่อนุรักษ์ตามกฎหมาย,กรมอุทยานแห่งชาติ สัตว์ป่า และพันธุ์พืช,boundary_metadata,"legal protected-area boundary|scale|update date",national,annual,publication dependent,CKAN catalog,primary,authoritative boundary discovery,blocked_public_geometry,https://catalog.dnp.go.th/dataset/141a61a6-e744-45e2-bde5-4449c1068da3,"metadata ระบุ Shapefile และมาตราส่วน 1:4000 แต่ public resources ที่เปิดได้ ณ 23 ส.ค. 2569 มีเฉพาะ PDF/XLSX ไม่มี geometry ให้ดาวน์โหลด"
gistda_mnre_np_2557,ชั้นอุทยานแห่งชาติปี 2557,GISTDA/MNRE,reference_boundary,national park polygon,national multipart polygon,static,2557 snapshot,ArcGIS REST,secondary,boundary cross-check,active_reference,https://gistdaportal.gistda.or.th/data/rest/services/L10_Forest/L10_NPRK_MNRE_50k/MapServer,"เป็นชั้นรัฐบาลเก่าแบบ multipart ระดับประเทศ ใช้ตรวจเทียบ OSM เท่านั้น ไม่อ้างเป็นแนวเขต DNP ปัจจุบัน"
tmd_open_api,TMD Open Data API,กรมอุตุนิยมวิทยา,ground_forecast_alert,"weather observation|daily forecast|7-day forecast|warning",point/national,"3-hourly/daily",product dependent,API key,primary,official Thai weather and warning,candidate,https://data.tmd.go.th/api/index1.php,"ต้องสมัคร token และตรวจเงื่อนไขการใช้; แยกจาก TMD radar QPE และห้ามนับซ้ำเมื่อ ThaiWater ส่งต่อข้อมูลสถานี TMD เดียวกัน"
tmd_earthquake_api,ข้อมูลแผ่นดินไหวประเทศไทย,กองเฝ้าระวังแผ่นดินไหว กรมอุตุนิยมวิทยา,seismic_event,"earthquake event|magnitude|depth|felt report",point event,near-real-time,minutes,API/RSS,primary,Thai earthquake authority,candidate,https://earthquake.tmd.go.th/,"เป็นแหล่งหลักในประเทศไทย; ต้องยืนยัน endpoint เชิงโปรแกรมและ token ก่อนใช้งานอัตโนมัติ"
rid_reservoir_public,ข้อมูลอ่างเก็บน้ำสาธารณะ,กรมชลประทาน,reservoir_observation,"storage|inflow|outflow|capacity",reservoir,daily,daily,public JSON API,primary,reservoir and water balance,candidate,https://app.rid.go.th/reservoir/api/document/reservoir,"ข้อมูลรายวัน ไม่ควรเรียกทุก 3 ชั่วโมงเกินความจำเป็น; ต้องตรวจหน่วย ล้าน ลบ.ม. และวันที่รายงาน"
egat_reservoir,ข้อมูลเขื่อนและอ่างเก็บน้ำ,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,reservoir_observation,"reservoir level|storage|inflow|outflow",reservoir,daily,daily,web/API,primary,major dam fallback,candidate,https://www.egat.co.th/,"ต้องยืนยัน API ทางการและสิทธิ์ก่อนเชื่อม; อาจซ้ำกับ ThaiWater หรือ RID จึงต้องเก็บ lineage"
gistda_disaster_flood,พื้นที่น้ำท่วมจากดาวเทียม,GISTDA,satellite_hazard,"flood extent|flood recency",polygon,"1/3/7/30 day products",daily,API GeoJSON/WMS/WMTS,primary,spatial flood confirmation,credential_required,https://disaster.gistda.or.th/services/open-api,"ต้องใช้ GISTDA API key; ใช้ยืนยันขอบเขตน้ำท่วม ไม่ใช่ค่าระดับน้ำหรือปริมาณฝน"
gistda_disaster_fire,จุดความร้อนและพื้นที่เผาไหม้,GISTDA,satellite_hazard,"VIIRS hotspot|burn scar",point/polygon,near-real-time/daily,product dependent,API GeoJSON/WMS/WMTS,primary,wildfire and hotspot confirmation,credential_required,https://disaster.gistda.or.th/services/open-api,"ต้องใช้ GISTDA API key; VIIRS มีต้นทางดาวเทียมร่วมกับ NASA FIRMS จึงห้ามนับเป็นแหล่งอิสระสองเสียง"
gistda_disaster_drought,ดัชนีภัยแล้งและความชื้น,GISTDA,satellite_hazard,"DRIPlus|NDWI|SMAP soil moisture",grid,"7 day",weekly,API WMS/WMTS/TMS,primary,drought and soil-moisture context,credential_required,https://disaster.gistda.or.th/services/open-api,"ต้องใช้ GISTDA API key; เป็นผลิตภัณฑ์เชิงพื้นที่ ไม่ใช่ค่าตรวจวัดดินภาคสนาม"
pcd_air4thai,Air4Thai,กรมควบคุมมลพิษ,air_quality,"PM2.5|PM10|AQI|ozone|NO2",point,hourly,near-real-time,API/web,primary,air-quality observation,candidate,http://air4thai.pcd.go.th/,"ต้องยืนยัน API ทางการและ schema ปัจจุบัน; ไม่ใช้ GISTDA GEMS แทนค่าภาคพื้นโดยตรง"
dmr_geohazard,ระบบธรณีพิบัติภัยและดินถล่ม,กรมทรัพยากรธรณี,geohazard,"landslide susceptibility|landslide event|monitoring station",point/polygon,product dependent,product dependent,API/catalog,primary,landslide risk and event,candidate,https://www.dmr.go.th/geohazard/,"ชั้นความเสี่ยงเป็น hazard baseline ไม่ใช่เหตุการณ์สด; ต้องแยก static susceptibility ออกจาก alert/event"
usgs_earthquake_geojson,USGS Earthquake GeoJSON,USGS,seismic_event,"earthquake event|magnitude|depth|alert",point event,1 minute,near-real-time,public GeoJSON feed,primary,global earthquake fallback,active,https://earthquake.usgs.gov/earthquakes/feed/,"ใช้เป็นแหล่งสากลสำรองและตรวจข้าม TMD; เหตุการณ์ใกล้ชายแดนอาจซ้ำกันจึงต้องทำ event matching"
jaxa_gsmap_nrt,GSMaP Near Real Time,JAXA,satellite,"precipitation",0.1 degree grid,hourly,about 4 hours,registered download,primary,satellite rainfall fallback,candidate,https://sharaku.eorc.jaxa.jp/GSMaP/,"ต้องลงทะเบียนและติดตามสถานะระบบ; มี lineage ร่วมกับดาวเทียม GPM หลายดวงแต่ algorithm ต่างจาก IMERG"
nasa_firms,NASA FIRMS,NASA,satellite_hazard,"MODIS hotspot|VIIRS hotspot|fire radiative power",point,10 minutes,near-real-time,MAP_KEY/API/WFS/WMS,primary,global fire fallback,candidate,https://firms.modaps.eosdis.nasa.gov/active_fire/,"ต้องใช้ MAP_KEY สำหรับ API; VIIRS ซ้ำ lineage กับ GISTDA fireDNPX จึงใช้ failover/cross-check ไม่ใช่เพิ่มน้ำหนักสองเท่า"
copernicus_glofas,GloFAS,Copernicus Emergency Management Service,hydrological_forecast,"river discharge|flood probability|return period",river grid,daily,forecast run dependent,CDS/WMS-T,primary,global river forecast fallback,candidate,https://global-flood.emergency.copernicus.eu/,"เหมาะลุ่มน้ำขนาดกลางถึงใหญ่ ไม่แทน telemetry ท้องถิ่น; ต้อง map จุดรายงานกับลำน้ำและสอบเทียบ"
copernicus_era5,ERA5 Reanalysis,Copernicus Climate Change Service,reanalysis,"precipitation|temperature|wind|soil moisture",grid,hourly,delayed historical,CDS API,primary,historical baseline and calibration,candidate,https://cds.climate.copernicus.eu/,"ใช้ย้อนหลังและ climatology ไม่ใช่แหล่งเตือนภัยสด; ต้องใช้บัญชี CDS และจัดการงานดาวน์โหลดแบบ asynchronous"
